duration_ms,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,n_beats,processing,genre,chord_type,Colore_encoded
6.434,35,0.546,0.514,-7.224,0.0324,0.377,6.87e-06,0.1,0.14,119.91,3.0,756.0,1.343558282208589,mandopop,A+,4
4.117333333333334,21,0.546,0.919,-5.467,0.0568,5.31e-05,0.178,0.0833,0.383,99.972,3.0,408.0,3.70048309178744,industrial,D+,19
3.6921833333333334,57,0.657,0.525,-8.333,0.0329,0.634,0.0,0.123,0.41,128.03,3.0,460.0,1.2793053545586106,mandopop,F+,28
2.8722166666666666,21,0.578,0.394,-11.752,0.0271,0.744,0.000804,0.0943,0.583,84.169,3.0,234.0,4.067085953878407,bluegrass,G,30
3.7484333333333333,33,0.726,0.738,-4.952,0.0243,0.23,0.000111,0.311,0.916,105.99,3.0,379.0,3.349056603773585,j-dance,C,9
8.282166666666667,7,0.868,0.412,-8.561,0.105,0.000437,0.272,0.106,0.572,124.02,3.0,1024.0,4.067085953878407,chicago-house,G+,34
7.047266666666666,4,0.801,0.809,-8.521,0.0496,0.00097,0.0848,0.452,0.541,120.008,3.0,843.0,1.1709531013615733,chicago-house,F#-,27
3.0933333333333333,25,0.435,0.198,-11.317,0.0363,0.867,0.0,0.117,0.533,108.449,3.0,371.0,3.70048309178744,disney,D,15
3.772883333333333,46,0.59,0.782,-5.638,0.123,0.0107,1.12e-05,0.0484,0.352,177.811,3.0,654.0,1.343558282208589,forro,A,0
4.95755,52,0.319,0.67,-7.276,0.0998,0.501,0.0,0.219,0.332,137.539,3.0,674.0,0.916010498687664,brazil,E+,22
5.5433,0,0.792,0.585,-9.595,0.0509,0.0159,0.858,0.117,0.104,127.001,3.0,703.0,1.2793053545586106,techno,F-,29
2.31855,41,0.81,0.701,-4.531,0.033,0.544,0.0,0.152,0.695,127.994,3.0,295.0,0.7481162540365985,forro,B,6
3.37355,43,0.674,0.886,-5.717,0.0403,0.126,0.00126,0.314,0.925,191.7,3.0,645.0,0.7573891625615764,forro,A#,1
7.423766666666666,0,0.661,0.886,-2.375,0.0393,0.0623,0.186,0.343,0.516,153.829,3.0,1131.0,3.349056603773585,happy,C+,13
4.81965,31,0.498,0.957,-5.807,0.162,0.00527,0.0,0.477,0.205,128.028,3.0,613.0,2.36741214057508,brazil,C#-,12
5.650433333333333,1,0.536,0.688,-5.618,0.0281,0.0211,2.1e-05,0.046,0.184,145.99,2.0,821.0,0.7481162540365985,iranian,B-,8
4.209766666666667,48,0.639,0.791,-5.968,0.0335,0.231,0.0,0.111,0.305,113.021,3.0,474.0,2.7259036144578315,mandopop,G#+,32
4.88355,19,0.576,0.927,-2.514,0.0723,0.119,0.0,0.324,0.682,120.026,3.0,568.0,1.7389162561576357,j-idol,D#+,17
2.25,44,0.761,0.151,-19.258,0.0967,0.716,0.898,0.0809,0.131,160.054,3.0,348.0,3.70048309178744,study,D+,19
5.7391,0,0.595,0.971,-5.122,0.0725,0.00127,0.0155,0.165,0.0599,144.997,3.0,823.0,1.343558282208589,happy,A+,4
3.411016666666667,19,0.855,0.662,-7.488,0.0618,0.33,0.00172,0.573,0.487,113.003,3.0,380.0,1.1709531013615733,afrobeat,F#,25
4.9084,61,0.759,0.938,-5.387,0.123,0.143,3.97e-06,0.402,0.81,92.017,3.0,448.0,0.7481162540365985,indian,B+,7
4.995066666666666,60,0.571,0.828,-6.448,0.0412,0.0165,0.124,0.107,0.648,128.003,3.0,633.0,2.36741214057508,mandopop,C#+,11
4.003116666666667,53,0.654,0.774,-4.809,0.0342,0.848,0.0,0.171,0.682,138.873,3.0,555.0,0.7573891625615764,forro,A#+,2
3.809833333333333,60,0.612,0.628,-6.754,0.0752,0.0358,0.00898,0.193,0.434,125.043,3.0,474.0,3.70048309178744,sleep,D+,19
2.78355,17,0.509,0.264,-10.884,0.0301,0.889,4.74e-06,0.251,0.771,89.194,3.0,238.0,1.1709531013615733,bluegrass,F#-,27
4.003416666666666,56,0.623,0.488,-8.246,0.029,0.5,0.000211,0.131,0.169,114.019,3.0,452.0,3.70048309178744,spanish,D+,19
3.9770666666666665,15,0.361,0.226,-12.589,0.0351,0.969,0.167,0.0907,0.0765,103.02,2.0,403.0,2.36741214057508,techno,C#-,12
3.19,0,0.684,0.521,-5.891,0.244,0.105,0.000291,0.15,0.682,107.297,4.0,339.0,1.2793053545586106,j-dance,F-,29
3.088233333333333,8,0.563,0.699,-7.282,0.0327,0.384,0.813,0.12,0.0622,84.991,3.0,260.0,1.7389162561576357,study,D#,16
4.712833333333333,60,0.36,0.465,-8.483,0.0337,0.421,0.000278,0.109,0.205,169.845,3.0,769.0,0.7573891625615764,mandopop,A#+,2
3.3322166666666666,34,0.331,0.712,-8.492,0.0748,0.252,0.488,0.087,0.388,179.442,2.0,561.0,1.1709531013615733,idm,F#+,26
6.1378,6,0.829,0.847,-6.883,0.0718,0.000216,0.918,0.0481,0.725,126.029,3.0,769.0,3.70048309178744,chicago-house,D,15
1.9617666666666667,43,0.618,0.896,-3.265,0.0765,0.435,0.0,0.239,0.666,93.197,3.0,177.0,2.7259036144578315,disney,G#+,32
3.7384333333333335,14,0.41,0.356,-9.666,0.0234,0.657,1.35e-05,0.266,0.196,78.53,3.0,289.0,1.2793053545586106,mandopop,F+,28
5.036833333333333,0,0.265,0.258,-13.136,0.12,0.778,0.0747,0.123,0.0693,107.599,3.0,552.0,1.1709531013615733,iranian,F#+,26
3.2117166666666668,12,0.418,0.0314,-26.725,0.049,0.995,0.962,0.141,0.141,171.938,3.0,543.0,3.349056603773585,disney,C+,13
3.785,64,0.58,0.418,-10.307,0.0295,0.453,0.00151,0.28,0.168,107.031,3.0,402.0,0.916010498687664,indian,E+,22
5.44585,30,0.438,0.512,-6.903,0.029,0.104,0.0,0.165,0.251,139.913,3.0,755.0,3.70048309178744,disney,D-,20
2.4,4,0.744,0.283,-13.606,0.0867,0.956,0.914,0.102,0.172,160.047,2.0,382.0,3.70048309178744,study,D+,19
5.854216666666667,22,0.256,0.855,-3.897,0.0417,0.000271,0.00335,0.149,0.417,115.12,3.0,728.0,4.067085953878407,black-metal,G+,34
6.981333333333334,48,0.649,0.413,-10.934,0.0316,0.261,1.93e-05,0.0748,0.59,143.946,3.0,995.0,3.70048309178744,indian,D+,19
3.55845,0,0.67,0.642,-11.349,0.0479,0.305,0.0206,0.167,0.144,93.958,3.0,333.0,4.067085953878407,indian,G+,34
6.344666666666667,33,0.585,0.56,-7.083,0.0382,0.562,3.07e-05,0.0992,0.292,109.936,3.0,681.0,3.70048309178744,spanish,D+,19
4.933333333333334,34,0.565,0.953,-2.815,0.0586,0.634,0.0,0.333,0.852,136.986,3.0,658.0,1.1709531013615733,j-idol,F#,25
4.26555,0,0.617,0.511,-14.289,0.0524,0.00329,0.904,0.19,0.0763,129.971,3.0,557.0,1.1709531013615733,idm,F#-,27
4.640666666666666,36,0.336,0.653,-8.475,0.0341,0.0301,2.6e-06,0.964,0.271,160.529,3.0,744.0,2.7259036144578315,indian,G#+,32
4.3651,61,0.607,0.55,-6.658,0.0251,0.571,0.0,0.0787,0.543,148.1,3.0,638.0,1.343558282208589,mandopop,A+,4
5.53845,42,0.6,0.547,-11.141,0.272,0.181,0.157,0.101,0.583,75.084,3.0,416.0,4.067085953878407,idm,G+,34
7.136966666666667,27,0.726,0.609,-12.423,0.0659,0.00313,0.407,0.0471,0.406,128.011,2.0,897.0,4.067085953878407,techno,G,30
4.446,49,0.537,0.257,-16.067,0.0279,0.789,1.15e-06,0.0918,0.269,143.97,3.0,628.0,3.349056603773585,brazil,C+,13
2.6001833333333333,39,0.628,0.946,-2.55,0.0699,0.533,0.0,0.971,0.853,171.977,3.0,442.0,0.916010498687664,forro,E-,23
6.325333333333333,17,0.67,0.679,-5.989,0.267,0.0119,0.0538,0.0856,0.43,129.983,3.0,816.0,3.349056603773585,chicago-house,C-,14
5.332433333333333,42,0.566,0.419,-7.661,0.0385,0.771,0.0,0.28,0.186,147.881,3.0,779.0,4.067085953878407,indian,G,30
2.298216666666667,26,0.59,0.403,-11.246,0.0421,0.704,7.37e-05,0.111,0.574,99.612,3.0,218.0,0.7481162540365985,bluegrass,B,6
3.875766666666667,24,0.459,0.522,-9.783,0.0351,0.345,0.51,0.107,0.706,135.65,3.0,509.0,3.70048309178744,bluegrass,D+,19
6.784,26,0.368,0.748,-8.852,0.108,0.501,2.9e-05,0.68,0.572,142.849,3.0,955.0,1.2793053545586106,bluegrass,F-,29
4.794183333333334,44,0.685,0.41,-6.725,0.0273,0.87,0.0,0.124,0.601,110.965,3.0,527.0,0.916010498687664,indian,E,21
3.0686166666666668,50,0.42,0.666,-9.957,0.077,0.818,0.123,0.377,0.653,99.91,3.0,299.0,1.7389162561576357,indian,D#+,17
3.8913333333333333,0,0.655,0.678,-6.799,0.0382,0.0248,0.0901,0.116,0.32,121.978,3.0,465.0,1.1709531013615733,chicago-house,F#-,27
3.3269333333333333,34,0.725,0.821,-3.128,0.0417,0.51,0.0,0.256,0.76,134.987,3.0,445.0,1.343558282208589,forro,A-,5
2.722,28,0.732,0.919,-6.043,0.0586,0.218,1.22e-05,0.382,0.889,151.995,3.0,410.0,2.7259036144578315,happy,G#,31
5.219766666666667,51,0.533,0.479,-6.958,0.0376,0.686,0.0,0.0803,0.294,130.012,3.0,669.0,3.70048309178744,mandopop,D-,20
3.70285,23,0.363,0.978,-25.881,0.0579,0.918,0.939,0.805,0.0128,97.477,2.0,361.0,2.36741214057508,indian,C#+,11
3.9857,37,0.482,0.928,-3.293,0.131,0.0447,0.0,0.355,0.633,139.947,3.0,546.0,1.1709531013615733,mandopop,F#+,26
3.341483333333333,49,0.662,0.911,-6.054,0.106,0.467,0.0,0.319,0.872,180.038,3.0,600.0,4.067085953878407,forro,G,30
11.8867,12,0.735,0.832,-6.198,0.0455,0.00394,0.754,0.544,0.224,131.995,3.0,1565.0,3.70048309178744,chicago-house,D+,19
6.966666666666667,4,0.186,0.136,-22.685,0.0385,0.987,0.682,0.106,0.0394,60.323,2.0,514.0,1.343558282208589,iranian,A,0
